route_id,service_id,trip_id,trip_headsign,shape_id,block_id
1,996,322237:427558:428752,MAINLINE to Waterfront,3575,428752
3J,995,320686:427559:428708,JUMBO GARDENS to Sherwood Dr.,3571,428708
7,995,320969:427560:428753,HUDSON to Shuniah St.,3577,428753
17,1003,320094:427561:428737,CURRENT RIVER to Cowan,3593,428737
1,996,322190:427562:428752,MAINLINE to City Hall,3609,428752
3M,996,322304:427563:428749,MEMORIAL to Northwood,3583,428749
3M,1003,319410:427564:428705,MEMORIAL to Waterfront,3596,428705
3M,1003,319383:427565:428705,MEMORIAL to County Park,3595,428705
3C,995,320849:427566:428681,COUNTY PARK to Castlegreen Dr,3605,428681
3J,1003,319791:427567:428730,JUMBO GARDENS to Sherwood Dr.,3571,428730
17,1003,320103:427568:428729,CURRENT RIVER to Cowan,3593,428729
1,996,322245:427569:428752,MAINLINE to Waterfront,3575,428752
8,996,322104:427570:428742,JAMES to College,3538,428742
13,996,322502:427571:428688,JOHN-JUMBO to Waterfront,3588,428688
11,1003,319899:427572:428755,JOHN to Windsor St.,3601,428755
17,996,322019:427573:428679,CURRENT RIVER to Waterfront,3603,428679
9,995,321041:427574:428711,JUNOT to University,3585,428711
13,1004,318481:427575:428713,JOHN-JUMBO to Waterfront,3588,428713
3M,995,321072:427576:428741,MEMORIAL to County Park,3595,428741
13,1003,320081:427577:428693,JOHN-JUMBO to County Fair,3572,428693
1,995,320880:427578:428673,MAINLINE to City Hall,3609,428673
17,995,321212:427579:428673,CURRENT RIVER to Waterfront,3603,428673
8,1003,319275:427580:428691,JAMES to Intercity via College,3587,428691
10,1003,319740:427581:428676,NORTHWOOD to City Hall,3556,428676
3M,996,322322:427582:428749,MEMORIAL to County Park,3600,428749
3J,995,320667:427583:428692,JUMBO GARDENS to Airport,3592,428692
3C,1003,319634:427584:428705,COUNTY PARK to Castlegreen Dr,3605,428705
1,1003,319563:427585:428694,MAINLINE to City Hall,3609,428694
8,995,320443:427586:428697,JAMES to Intercity via College,3587,428697
1,996,322200:427587:428752,MAINLINE to City Hall,3609,428752
3M,995,321057:427588:428681,MEMORIAL to County Park,3600,428681
3M,995,321135:427589:428677,MEMORIAL to Airport,3573,428677
11,1003,319907:427590:428755,JOHN to Waterfront,3606,428755
3M,1003,319324:427591:428738,MEMORIAL to Airport,3573,428738
9,996,322068:427592:428700,JUNOT to Waterfront,3599,428700
3M,996,322284:427593:428735,MEMORIAL to Northwood,3583,428735
17,995,321218:427594:428695,CURRENT RIVER to Waterfront,3603,428695
15,995,320294:427595:428711,BEVERLY to Intercity,3586,428711
17,996,322022:427596:428679,CURRENT RIVER to Waterfront,3603,428679
3M,996,322295:427597:428749,MEMORIAL to Northwood,3583,428749
5,1003,319830:427598:428727,EDWARD to Waterfront,3555,428727
10,995,320572:427599:428689,NORTHWOOD to College,3549,428689
8,995,320409:427600:428682,JAMES to Intercity via College,3587,428682
1,995,320910:427601:428673,MAINLINE to Waterfront,3575,428673
3C,995,320800:427602:428689,COUNTY PARK to Northwood,3576,428689
3C,995,320842:427603:428741,COUNTY PARK to Castlegreen Dr,3605,428741
8,1004,318898:427604:428745,JAMES to City Hall via College,3569,428745
15,996,322528:427605:428700,BEVERLY to Intercity,3586,428700
3C,1003,319650:427606:428674,COUNTY PARK to Castlegreen Dr,3605,428674
3M,1003,319341:427607:428705,MEMORIAL to Northwood,3598,428705
3M,1004,318680:427608:428746,MEMORIAL to County Park,3600,428746
1,1003,319592:427609:428694,MAINLINE to Waterfront,3575,428694
9,995,320996:427610:428715,JUNOT to Waterfront,3599,428715
13,1004,318490:427611:428687,JOHN-JUMBO to Waterfront,3588,428687
3M,1003,319331:427612:428705,MEMORIAL to Northwood,3598,428705
1,1004,318752:427613:428696,MAINLINE to City Hall,3609,428696
7,995,320954:427614:428718,HUDSON to Shuniah St.,3577,428718
1,995,320913:427615:428673,MAINLINE to Waterfront,3607,428673
3M,1003,319371:427616:428676,MEMORIAL to Northwood,3598,428676
15,1003,319144:427617:428747,BEVERLY to University,3608,428747
3J,1003,319750:427618:428698,JUMBO GARDENS to Airport,3592,428698
17,1003,320119:427619:428737,CURRENT RIVER to Waterfront,3603,428737
17,1003,320128:427620:428726,CURRENT RIVER to Waterfront,3603,428726
9,1004,318962:427621:428672,JUNOT to University,3585,428672
17,1003,320146:427622:428747,CURRENT RIVER to Waterfront,3603,428747
9,995,321008:427623:428690,JUNOT to Waterfront,3599,428690
2,1003,319160:427624:428725,CROSSTOWN to Westfort,3597,428725
17,995,321178:427625:428685,CURRENT RIVER to Cowan,3593,428685
7,1004,318879:427626:428687,HUDSON to Shuniah St.,3577,428687
15,1004,318443:427627:428686,BEVERLY to Intercity,3586,428686
5,1003,319828:427628:428720,EDWARD to Waterfront,3555,428720
2,1003,319198:427629:428720,CROSSTOWN to Westfort,3597,428720
3J,1006,319752:427630:428751,JUMBO GARDENS to Airport,3592,428751
3J,1007,319752:427630:428759,JUMBO GARDENS to Airport,3592,428759
9,996,322042:427631:428671,JUNOT to Waterfront,3599,428671
9,996,322057:427632:428671,JUNOT to University,3585,428671
8,995,320402:427633:428719,JAMES to Intercity via College,3587,428719
5,995,320741:427634:428733,EDWARD to Waterfront,3555,428733
3M,995,321164:427635:428699,MEMORIAL to Waterfront,3596,428699
9,995,321019:427636:428690,JUNOT to University,3585,428690
7,1003,319429:427637:428755,HUDSON to Shuniah St.,3577,428755
11,995,320776:427638:428753,JOHN to Windsor St.,3601,428753
3C,995,320827:427639:428708,COUNTY PARK to Northwood,3576,428708
9,1003,319510:427640:428747,JUNOT to Waterfront,3599,428747
1,1003,319555:427641:428694,MAINLINE to City Hall,3609,428694
8,996,322073:427642:428742,JAMES to Intercity via College,3587,428742
17,996,321999:427643:428754,CURRENT RIVER to Cowan,3593,428754
18,1004,319021:427644:428696,WESTFORT to Mary,3509,428696
8,996,322102:427645:428683,JAMES to College,3538,428683
1,996,322212:427646:428754,MAINLINE to Waterfront,3575,428754
9,1004,318975:427647:428686,JUNOT to Waterfront,3599,428686
8,1004,318902:427648:428706,JAMES to Intercity via College,3587,428706
3J,1003,319775:427649:428722,JUMBO GARDENS to Sherwood Dr.,3571,428722
9,1003,319508:427650:428740,JUNOT to Waterfront,3599,428740
17,995,321201:427651:428715,CURRENT RIVER to Waterfront,3603,428715
11,995,320782:427652:428753,JOHN to Waterfront,3606,428753
9,996,322064:427653:428671,JUNOT to Waterfront,3599,428671
18,1004,319017:427654:428739,WESTFORT to Mary,3509,428739
5,1003,319849:427655:428720,EDWARD to Waterfront,3555,428720
